Benchmarks,sim_seconds,system.clk_domain.clock,system.cpu.cpi,system.cpu.dcache.overall_miss_rate::total,system.cpu.icache.overall_miss_rate::total,system.l2.overall_miss_rate::total,host_mem_usage
specbzip,0.161048,1000,1.610476,0.014676,0.000077,0.282190,703968
specmcf,0.127339,1000,1.273393,0.002130,0.023627,0.055112,702908
spechmmer,0.118525,1000,1.185249,0.001616,0.000221,0.078234,704528
specsjeng,0.704059,1000,7.040591,0.121831,0.000020,0.999970,706144
speclibm,0.262317,1000,2.623172,0.060971,0.000095,0.999940,708296
specbzip,0.045690,1000,1.827582,0.014940,0.000077,0.282205,703964
specmcf,0.033344,1000,1.333753,0.002130,0.023609,0.055112,702912
spechmmer,0.029829,1000,1.193175,0.001624,0.000221,0.078245,704528
specsjeng,0.417532,1000,16.701285,0.121831,0.000020,0.999970,706148
speclibm,0.132678,1000,5.307109,0.060971,0.000095,0.999940,708296
